id	title	date	price	location	link
postid_7432751813	NEW Black Sur Ron X!	Jan 14	$5,100	 (pacifica)	https://sfbay.craigslist.org/pen/mcy/d/pacifica-new-black-sur-ron/7432751813.html
postid_7432743436	2006  Rare Harley Davidson Fatboy Factory CVO Aces/Eights Trade? OBO	Jan 14	$12,750	 (dublin / pleasanton / livermore)	https://sfbay.craigslist.org/eby/mcy/d/pleasanton-2006-rare-harley-davidson/7432743436.html
postid_7432742381	2012 Harley-Davidson FLTRU ROAD GLIDE ULTRA * 5,695 ORIGINAL LOW MILES	Jan 14	$15,999	 (www.ElegantAutoSales.net city of san francisco )	https://sfbay.craigslist.org/sfc/mcd/d/rancho-cordova-2012-harley-davidson/7432742381.html
postid_7432737498	2018 Harley-Davidson Street Glide Special * WARRANTY *	Jan 14	$24,999	 (www.ElegantAutoSales.net city of san francisco )	https://sfbay.craigslist.org/sfc/mcd/d/rancho-cordova-2018-harley-davidson/7432737498.html
postid_7432731027	2013 Triumph 1050 Speed Triple ABS	Jan 14	$5,495	 (dublin / pleasanton / livermore)	https://sfbay.craigslist.org/eby/mcy/d/pleasanton-2013-triumph-1050-speed/7432731027.html
postid_7432681771	2019 Harley-Davidson® Touring Street Glide V Twin 1746 cc	Jan 14	$24,890	 (San Jose Harley-Davidson south bay area )	https://sfbay.craigslist.org/sby/mcd/d/san-jose-2019-harley-davidson-touring/7432681771.html
postid_7432667772	2007 Suzuki Hayabusa 1300  -Finance it with Instant Credit Approval!	Jan 14	$6,995	 (Delivered to your Doorstep starting at $189 city of san francisco )	https://sfbay.craigslist.org/sfc/mcd/d/las-vegas-2007-suzuki-hayabusa-finance/7432667772.html
postid_7432659776	2018 Harley-Davidson® Road King Special V Twin 1753.4 cc	Jan 14	$24,990	 (San Jose Harley-Davidson south bay area )	https://sfbay.craigslist.org/sby/mcd/d/san-jose-2018-harley-davidson-road-king/7432659776.html
postid_7432656310	2008 WR250R	Jan 14	$6,500	 (san carlos)	https://sfbay.craigslist.org/pen/mcy/d/san-carlos-2008-wr250r/7432656310.html
postid_7432652210	Motorcycle	Jan 14	$1	 (santa clara)	https://sfbay.craigslist.org/sby/mcy/d/santa-clara-motorcycle/7432652210.html
postid_7432647021	1978 XL350	Jan 13	$1,600	 (oakland north / temescal)	https://sfbay.craigslist.org/eby/mcy/d/oakland-1978-xl350/7432647021.html
postid_7432646220	2008 Kawasaki Ninja 650	Jan 13	$1,850	 (danville / san ramon)	https://sfbay.craigslist.org/eby/mcy/d/danville-2008-kawasaki-ninja-650/7432646220.html
postid_7432640132	Spitfire Scout 4 Mobility Scooter	Jan 13	$750	 (sunnyvale)	https://sfbay.craigslist.org/sby/mcy/d/sunnyvale-spitfire-scout-mobility/7432640132.html
postid_7432639611	Indian scout 2020	Jan 13	$14,500	 (richmond / point / annex)	https://sfbay.craigslist.org/eby/mcy/d/el-sobrante-indian-scout-2020/7432639611.html
postid_7432638678	Honda TLR 200	Jan 13	$1,500	 (san jose west)	https://sfbay.craigslist.org/sby/mcy/d/san-jose-honda-tlr-200/7432638678.html
postid_7432637525	1984-85 honda xr 200	Jan 13	$2,300	 (Ukiah north bay / marin )	https://sfbay.craigslist.org/nby/mcy/d/talmage-honda-xr-200/7432637525.html
postid_7432635786	2016 Suzuki Burgman 400 ABS	Jan 13	$5,100	 (san jose north)	https://sfbay.craigslist.org/sby/mcy/d/san-jose-2016-suzuki-burgman-400-abs/7432635786.html
postid_7432631456	2020 CBR600RR for Sale	Jan 13	$10,000	 (San Jose east bay area )	https://sfbay.craigslist.org/eby/mcy/d/san-jose-2020-cbr600rr-for-sale/7432631456.html
postid_7432621281	2007 HONDA VFR 800	Jan 13	$6,300	 (gilroy)	https://sfbay.craigslist.org/sby/mcy/d/gilroy-2007-honda-vfr-800/7432621281.html
postid_7432612561	2006 Suzuki GSXR 600 K6	Jan 13	$4,500	 (rohnert pk / cotati)	https://sfbay.craigslist.org/nby/mcy/d/rohnert-park-2006-suzuki-gsxr-600-k6/7432612561.html
postid_7432611353	2006 Harley Davidson Dyna Streetbob	Jan 13	$7,850	 (Upland, Ca city of san francisco )	https://sfbay.craigslist.org/sfc/mcy/d/upland-2006-harley-davidson-dyna/7432611353.html
postid_7432610569	2008 harley davidson dyna superglide fxd	Jan 13	$8,950	 (Upland, ca city of san francisco )	https://sfbay.craigslist.org/sfc/mcy/d/upland-2008-harley-davidson-dyna/7432610569.html
postid_7432603508	2001 Kawasaki KX250	Jan 13	$3,100	 (pittsburg / antioch)	https://sfbay.craigslist.org/eby/mcy/d/antioch-2001-kawasaki-kx250/7432603508.html
postid_7432601843	Honda 919cc Fuel Injected Naked Sport bike	Jan 13	$3,600	 (concord / pleasant hill / martinez)	https://sfbay.craigslist.org/eby/mcy/d/martinez-honda-919cc-fuel-injected/7432601843.html
postid_7432597332	2001 Harley Davidson Road Glide	Jan 13	$13,500	 (south san francisco)	https://sfbay.craigslist.org/pen/mcy/d/south-san-francisco-2001-harley/7432597332.html
